127.0.0.1 - - [22/Jan/2018:14:46:23 +0530] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [22/Jan/2018:14:46:39 +0530] "GET /portalmiddleware/ HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [22/Jan/2018:14:49:36 +0530] "OPTIONS /portalmiddleware/authenticate HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Jan/2018:14:49:40 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 171
0:0:0:0:0:0:0:1 - - [22/Jan/2018:14:49:48 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [22/Jan/2018:14:50:51 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [22/Jan/2018:14:50:56 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [22/Jan/2018:14:51:17 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [22/Jan/2018:14:52:10 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [22/Jan/2018:14:52:23 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [22/Jan/2018:14:52:28 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [22/Jan/2018:14:52:45 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [22/Jan/2018:14:52:58 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [22/Jan/2018:14:53:27 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [22/Jan/2018:14:53:37 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [22/Jan/2018:14:57:06 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [22/Jan/2018:14:57:12 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [22/Jan/2018:15:02:38 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [22/Jan/2018:15:02:55 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [22/Jan/2018:15:04:29 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [22/Jan/2018:15:04:32 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [22/Jan/2018:15:04:35 +0530] "GET /portalmiddleware/blogDescription?blogId=undefined HTTP/1.1" 400 1127
0:0:0:0:0:0:0:1 - - [22/Jan/2018:15:05:41 +0530] "GET /portalmiddleware/blogDescription?blogId=undefined HTTP/1.1" 400 1127
0:0:0:0:0:0:0:1 - - [22/Jan/2018:15:05:46 +0530] "GET /portalmiddleware/blogDescription?blogId=undefined HTTP/1.1" 400 1127
0:0:0:0:0:0:0:1 - - [22/Jan/2018:15:06:17 +0530] "GET /portalmiddleware/blogDescription?blogId=undefined HTTP/1.1" 400 1127
0:0:0:0:0:0:0:1 - - [22/Jan/2018:15:06:53 +0530] "GET /portalmiddleware/blogDescription?blogId=undefined HTTP/1.1" 400 1127
0:0:0:0:0:0:0:1 - - [22/Jan/2018:15:08:56 +0530] "GET /portalmiddleware/blogDescription?blogId=undefined HTTP/1.1" 400 1127
0:0:0:0:0:0:0:1 - - [22/Jan/2018:15:10:02 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [22/Jan/2018:15:10:03 +0530] "GET /portalmiddleware/blogDescription?blogId=undefined HTTP/1.1" 400 1127
0:0:0:0:0:0:0:1 - - [22/Jan/2018:15:10:10 +0530] "GET /portalmiddleware/blogDescription?blogId=undefined HTTP/1.1" 400 1127
0:0:0:0:0:0:0:1 - - [22/Jan/2018:15:10:18 +0530] "OPTIONS /portalmiddleware/likeBlog HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [22/Jan/2018:15:10:18 +0530] "POST /portalmiddleware/likeBlog HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [22/Jan/2018:15:10:18 +0530] "GET /portalmiddleware/likeStatus?blogId=1 HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [22/Jan/2018:15:10:46 +0530] "GET /portalmiddleware/blogDescription?blogId=undefined HTTP/1.1" 400 1127
0:0:0:0:0:0:0:1 - - [22/Jan/2018:15:10:49 +0530] "POST /portalmiddleware/likeBlog HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [22/Jan/2018:15:10:49 +0530] "GET /portalmiddleware/likeStatus?blogId=1 HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [22/Jan/2018:15:12:30 +0530] "GET /portalmiddleware/blogComments?blogId=1 HTTP/1.1" 200 5773
0:0:0:0:0:0:0:1 - - [22/Jan/2018:15:12:31 +0530] "GET /portalmiddleware/likeStatus?blogId=1 HTTP/1.1" 200 42
