127.0.0.1 - - [16/Jan/2018:12:09:13 +0530] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:09:19 +0530] "GET /portalmiddleware/ HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:09:41 +0530] "OPTIONS /portalmiddleware/authenticate HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:09:44 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 171
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:09:50 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:09:52 +0530] "GET /portalmiddleware/blogDescription?blogId=22 HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:09:55 +0530] "OPTIONS /portalmiddleware/approval HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:09:55 +0530] "POST /portalmiddleware/approval HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:09:57 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:10:14 +0530] "GET /portalmiddleware/logout?username=admin HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:10:19 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 171
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:10:24 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:10:28 +0530] "GET /portalmiddleware/blogDescription?blogId=1 HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:23:55 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:23:59 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:24:10 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:24:12 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:25:04 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:25:06 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:25:42 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:26:13 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 788
