127.0.0.1 - - [05/Jan/2018:15:34:20 +0530] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [05/Jan/2018:15:34:30 +0530] "GET /portalmiddleware/ HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [05/Jan/2018:15:43:10 +0530] "OPTIONS /portalmiddleware/authenticate HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2018:15:43:13 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 179
0:0:0:0:0:0:0:1 - - [05/Jan/2018:15:44:50 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 179
0:0:0:0:0:0:0:1 - - [05/Jan/2018:15:46:01 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 179
0:0:0:0:0:0:0:1 - - [05/Jan/2018:15:46:34 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 179
0:0:0:0:0:0:0:1 - - [05/Jan/2018:15:46:51 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 179
0:0:0:0:0:0:0:1 - - [05/Jan/2018:15:47:57 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 179
0:0:0:0:0:0:0:1 - - [05/Jan/2018:15:48:39 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 179
0:0:0:0:0:0:0:1 - - [05/Jan/2018:15:57:33 +0530] "OPTIONS /portalmiddleware/authenticate HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2018:15:57:33 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 179
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:02:03 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 179
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:02:59 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 179
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:09:47 +0530] "OPTIONS /portalmiddleware/editProfile HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:09:47 +0530] "POST /portalmiddleware/editProfile HTTP/1.1" 202 173
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:33:27 +0530] "OPTIONS /portalmiddleware/authenticate HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:33:27 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 173
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:59:38 +0530] "OPTIONS /portalmiddleware/authenticate HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2018:16:59:39 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 173
0:0:0:0:0:0:0:1 - - [05/Jan/2018:17:01:01 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 173
0:0:0:0:0:0:0:1 - - [05/Jan/2018:17:02:02 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 173
0:0:0:0:0:0:0:1 - - [05/Jan/2018:17:02:35 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 173
0:0:0:0:0:0:0:1 - - [05/Jan/2018:17:02:57 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 173
0:0:0:0:0:0:0:1 - - [05/Jan/2018:17:04:01 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 182
0:0:0:0:0:0:0:1 - - [05/Jan/2018:17:08:33 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 182
0:0:0:0:0:0:0:1 - - [05/Jan/2018:17:19:18 +0530] "OPTIONS /portalmiddleware/authenticate HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2018:17:19:18 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 173
0:0:0:0:0:0:0:1 - - [05/Jan/2018:17:19:26 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 173
0:0:0:0:0:0:0:1 - - [05/Jan/2018:17:52:07 +0530] "OPTIONS /portalmiddleware/authenticate HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2018:17:52:08 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 173
0:0:0:0:0:0:0:1 - - [05/Jan/2018:17:53:00 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 173
0:0:0:0:0:0:0:1 - - [05/Jan/2018:17:54:41 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 173
0:0:0:0:0:0:0:1 - - [05/Jan/2018:17:55:32 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 173
0:0:0:0:0:0:0:1 - - [05/Jan/2018:17:57:16 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 173
0:0:0:0:0:0:0:1 - - [05/Jan/2018:18:06:52 +0530] "OPTIONS /portalmiddleware/authenticate HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Jan/2018:18:06:52 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 173
0:0:0:0:0:0:0:1 - - [05/Jan/2018:18:09:02 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 173
