127.0.0.1 - - [12/Jan/2018:11:58:58 +0530] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [12/Jan/2018:11:59:05 +0530] "GET /portalmiddleware/ HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:00:09 +0530] "OPTIONS /portalmiddleware/authenticate HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:00:24 +0530] "POST /portalmiddleware/authenticate HTTP/1.1" 202 176
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:01:47 +0530] "OPTIONS /portalmiddleware/editProfile HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:01:47 +0530] "POST /portalmiddleware/editProfile HTTP/1.1" 202 175
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:01:54 +0530] "POST /portalmiddleware/editProfile HTTP/1.1" 202 175
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:03:24 +0530] "POST /portalmiddleware/editProfile HTTP/1.1" 202 175
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:03:37 +0530] "POST /portalmiddleware/editProfile HTTP/1.1" 202 171
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:11:46 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:14:47 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:15:07 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:15:36 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:16:03 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:17:35 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:17:38 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:18:01 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:18:09 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:18:11 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:18:15 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:18:18 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:23:19 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:23:21 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:24:03 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:24:05 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:24:20 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:24:30 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:25:17 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:25:20 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:27:26 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:27:28 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:27:41 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:28:17 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:28:37 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:28:38 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:28:58 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:29:07 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:29:09 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:29:13 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:29:14 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:33:56 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:34:12 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:34:22 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:39:02 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:39:11 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:39:16 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:39:28 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:39:33 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:39:38 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:39:48 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:40:19 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:40:33 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:40:48 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:41:14 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:41:15 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:44:45 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:45:24 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:52:50 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:53:00 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:53:01 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:53:49 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:53:55 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:53:57 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:54:20 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:55:19 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:55:34 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:55:36 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:57:24 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [12/Jan/2018:12:57:33 +0530] "GET /portalmiddleware/blogslist HTTP/1.1" 200 1157
